18.00,18.00,70.72,75.76,77.00
12.81,12.81,70.33,76.06,81.98
10.83,10.83,68.12,76.46,80.43
11.99,11.99,69.35,77.55,84.54
12.58,12.58,64.09,73.59,81.43
14.57,14.57,62.20,71.53,77.85
18.63,18.63,61.30,71.44,79.98
22.37,22.37,58.19,63.79,78.82
20.90,20.90,61.06,52.71,81.15
18.16,18.16,59.92,49.49,73.16
15.52,15.52,68.49,33.68,78.81
14.03,14.03,85.00,34.39,72.73
14.16,14.16,88.05,32.45,72.66
13.13,13.13,80.17,42.50,73.84
16.11,16.11,75.56,48.23,72.30
16.32,16.32,68.35,51.41,73.13
13.98,13.98,67.96,60.54,70.50
11.83,11.83,59.25,70.07,75.46
8.76,8.76,65.36,77.53,72.33
6.77,6.77,64.70,76.12,71.36
8.35,8.35,58.08,75.11,69.17
12.66,12.66,60.62,79.10,68.52
15.89,15.89,58.39,78.06,68.27
15.13,15.13,50.96,72.97,68.88
17.37,17.37,53.00,64.89,67.11
16.22,16.22,56.85,65.00,72.62
14.63,14.63,59.44,58.11,69.56
14.23,14.23,65.20,53.13,69.50
16.03,16.03,69.35,53.45,70.72
12.59,12.59,77.07,53.24,76.33
9.76,9.76,74.90,51.42,68.82
11.74,11.74,70.58,53.02,71.18
13.81,13.81,74.91,49.03,66.42
13.91,13.91,66.00,46.25,66.92
8.63,8.63,67.44,48.34,64.88
13.36,13.36,73.64,55.36,74.40
16.20,16.20,85.49,56.58,79.31
14.53,14.53,84.77,60.83,81.30
11.20,11.20,89.32,68.38,83.67
13.20,13.20,86.47,73.32,79.79
17.05,17.05,83.06,68.97,81.15
21.97,21.97,81.20,72.00,82.35
26.50,26.50,84.29,75.70,80.87
24.35,24.35,81.92,72.34,75.62
19.26,19.26,79.45,76.43,77.62
15.61,15.61,80.73,75.50,76.63
11.00,11.00,79.73,76.42,73.85
11.15,11.15,73.83,74.39,73.91
18.17,18.17,80.03,67.31,78.73
22.15,22.15,84.13,65.10,79.42
24.48,24.48,86.35,68.41,76.87
23.93,23.93,86.18,68.04,76.49
19.05,19.05,81.26,60.57,74.64
15.53,15.53,81.01,59.93,72.51
13.41,13.41,89.79,69.89,72.35
13.92,13.92,88.50,74.07,75.50
14.31,14.31,82.43,75.79,74.90
20.96,20.96,76.61,77.14,74.84
22.54,22.54,71.41,77.79,74.48
25.28,25.28,74.42,79.24,74.86
29.34,29.34,71.27,79.83,73.68
31.91,31.91,58.38,79.30,73.60
29.16,29.16,57.82,78.01,73.56
29.39,29.39,57.11,77.95,72.75
